°í°´¹øÈ£,A,B,C,D
10840,647,940,4,0
10841,0,2116,53,0
10842,7,1515,378,0
10843,69,73,1532,0
10844,10,0,111,281
10845,541,335,2,0
10846,837,7,22,0
10847,539,844,8,0
10848,45,1341,6,0
10849,16,1096,7,0
10850,3,861,7,0
10851,127,1502,40,0
10852,17,1413,59,0
10853,1,1248,2,0
10854,36,2,2345,0
10855,1,962,64,0
10856,587,28,1231,0
10857,650,2,10,2
10858,4,46,1465,0
10859,271,3,20,0
10860,44,0,2258,2
10861,440,844,510,0
10862,30,1111,0,0
10863,1,2139,7,0
10864,94,6,2603,0
10865,877,1,75,0
10866,564,0,367,2
10867,676,75,0,30
10868,629,45,0,8
10869,34,16,2352,0
10870,555,508,10,0
10871,3,1934,407,0
10872,746,1050,0,0
10873,58,1593,322,0
10874,22,83,2016,0
10875,6,17,1352,0
10876,4,1746,15,0
10877,26,80,1721,0
10878,12,31,1876,0
10879,5,1777,134,0
10880,37,1381,4,0
10881,566,6,0,6
10882,14,71,1868,0
10883,598,0,0,14
10884,1175,5,36,0
10885,42,97,2591,0
10886,727,78,4,0
10887,7,971,3325,0
10888,894,0,2,1
10889,37,906,14,0
10890,935,354,0,5
10891,15,1044,29,0
10892,484,326,72,0
10893,5,256,1558,0
10894,4,1054,129,0
10895,762,238,28,0
10896,560,1234,11,7
10897,19,1470,5,0
10898,21,1432,69,2
10899,679,506,0,0
10900,319,6,3,0
10901,20,38,1842,1
10902,9,23,2397,2
10903,154,2473,4,0
10904,511,42,0,3
10905,550,61,6,0
10906,32,3131,5,0
10907,2,934,27,0
10908,1,2255,2,0
10909,28,1775,10,3
10910,495,0,3,0
10911,18,1692,127,0
10912,10,2045,12,0
10913,842,1155,11,0
10914,26,3,2281,0
10915,41,135,1394,0
10916,18,57,1846,0
10917,1018,0,4,2
10918,5,4,1774,0
10919,8,7,2824,0
10920,595,19,0,5
10921,465,85,5,29
10922,44,1859,1,0
10923,143,894,2,0
10924,721,0,0,0
10925,29,112,2816,1
10926,544,1667,32,0
10927,1072,38,0,0
10928,2,627,2468,0
10929,44,0,21,131
10930,15,1406,1,0
10931,520,13,0,1
10932,13,50,79,141
10933,6,1098,163,0
10934,18,3911,63,0
10935,1,8,2057,0
10936,532,1,3,0
10937,59,0,0,134
10938,20,990,0,0
10939,14,902,408,0
10940,2,1420,724,0
10941,4,1396,5,0
10942,694,13,0,0
10943,1,2568,8,0
10944,15,39,3523,0
10945,1559,499,0,0
10946,2,726,8,0
10947,9,1111,0,0
10948,1155,39,660,0
10949,78,2634,8,0
10950,215,1459,4,4
10951,12,226,1417,0
10952,2,112,2635,0
10953,3,1182,9,0
10954,130,1220,0,2
10955,624,44,288,0
10956,3,9,1138,0
10957,599,0,0,2
10958,2,678,25,0
10959,586,9,1,0
10960,6,1021,2,0
10961,4,129,1325,0
10962,42,1387,0,0
10963,10,1398,24,0
10964,7,1467,0,0
10965,491,5,41,0
10966,618,263,56,0
10967,131,2008,23,0
10968,631,18,345,0
10969,14,4,1398,0
10970,518,341,10,7
10971,763,49,1,0
10972,12,2181,16,0
10973,1,70,2166,0
10974,716,86,182,0
10975,101,172,5219,0
10976,494,271,908,0
10977,621,172,387,0
10978,122,1264,14,4
10979,10,1636,68,0
10980,0,3188,243,0
10981,25,1196,51,0
10982,2,1118,11,0
10983,46,2372,18,0
10984,16,2367,7,0
10985,41,15,2766,0
10986,3,1320,1,0
10987,8,2,1642,0
10988,0,1317,1,0
10989,267,645,0,200
10990,527,205,1,0
10991,437,90,35,0
10992,14,1536,3,0
10993,64,1850,3,0
10994,20,531,2233,0
10995,1,8,1672,0
10996,165,3191,882,0
10997,2,1332,8,0
10998,5,80,2816,0
10999,13,3,2630,0
11000,890,343,799,0
11001,1,88,2946,0
11002,132,2832,260,0
11003,2,1715,9,0
11004,595,40,93,0
11005,97,1478,0,0
11006,7,1068,2,0
11007,514,2451,135,0
11008,118,1257,22,0
11009,3,846,59,0
11010,5,19,1896,0
11011,3,1151,1,0
11012,586,25,47,1
11013,1,157,2552,0
11014,648,48,1,0
11015,4,290,3159,0
11016,71,2190,41,0
11017,3,2514,18,0
11018,663,1271,1,0
11019,15,1566,144,0
11020,769,252,13,0
11021,16,33,2648,0
11022,810,815,27,0
11023,23,0,61,0
11024,29,1914,5,0
11025,13,1606,280,0
11026,13,2213,8,0
11027,607,23,0,2
11028,8,48,1638,0
11029,67,7,2237,0
11030,539,893,957,0
11031,17,1276,456,0
11032,653,50,871,0
11033,1,22,2059,0
11034,13,1316,2,0
11035,19,615,67,0
11036,9,546,102,1
11037,588,66,0,2
11038,21,1833,0,2
11039,459,369,67,0
11040,506,97,31,2
11041,0,918,148,0
11042,8,6,2755,0
11043,4,167,1569,0
11044,19,1636,0,2
11045,126,1009,18,0
11046,25,7,1830,0
11047,173,0,1990,0
11048,817,25,60,0
11049,146,103,1230,0
11050,700,0,0,0
11051,345,18,9,0
11052,17,1584,11,0
11053,16,1629,7,35
11054,3,1298,3,0
11055,6,947,3,0
11056,23,1527,47,0
11057,10,205,2107,0
11058,498,348,554,0
11059,775,593,0,75
11060,246,209,4,0
11061,486,365,79,0
11062,1,1213,11,0
11063,658,0,12,0
11064,632,714,1,0
11065,6,1922,2,0
11066,6,1988,10,0
11067,20,2090,101,0
11068,29,164,1488,0
11069,12,5,2080,0
11070,19,1801,25,0
11071,557,52,105,9
11072,19,10,4,6
11073,54,1793,0,0
11074,3,2064,1,0
11075,529,1,130,0
11076,1,1210,951,0
11077,0,758,131,1
11078,1,1197,10,0
11079,934,5,29,0
11080,877,224,16,0
11081,472,15,7,1
11082,2,131,2064,0
11083,787,31,23,0
11084,1,1056,8,0
11085,496,0,82,0
11086,565,17,0,2
11087,2,1603,1,0
11088,28,2010,4,0
11089,807,39,9,0
11090,168,1826,82,0
11091,6,121,2520,0
11092,11,1417,4,0
11093,22,1624,9,0
11094,579,0,0,0
11095,523,101,33,0
11096,468,32,4,0
11097,592,193,8,0
11098,193,995,16,0
11099,610,4,2,0
11100,1,173,2143,0
11101,673,307,25,0
11102,22,1787,15,0
11103,150,1,1394,0
11104,20,1809,501,0
11105,658,3,3,0
11106,7,2779,9,0
11107,1,26,2068,0
11108,542,170,11,9
11109,0,97,2254,0
11110,633,82,11,21
11111,23,2582,1,11
11112,6,834,34,0
11113,1,91,2523,0
11114,22,2614,183,0
11115,1,9,3780,0
11116,108,1954,80,47
11117,20,3261,49,0
11118,135,24,1881,0
11119,1,1534,24,0
11120,81,390,1826,0
11121,9,1984,128,0
11122,6,1939,149,0
11123,62,2115,4,0
11124,9,1180,8,0
11125,587,606,255,4
11126,3,1,1989,0
11127,882,15,496,0
11128,641,428,0,0
11129,2,303,2,0
11130,918,94,5,0
11131,607,3,7,0
11132,2,661,9,0
11133,14,1348,0,1
11134,477,233,293,0
11135,39,640,275,0
11136,580,239,32,0
11137,134,1403,32,0
11138,757,69,117,2
11139,1,1189,28,0
11140,277,1362,166,0
11141,558,351,14,0
11142,305,1243,106,0
11143,466,353,12,0
11144,12,319,1800,0
11145,642,3,27,0
11146,584,142,30,9
11147,49,43,1017,0
11148,661,21,24,0
11149,14,1,1467,0
11150,17,1,2393,0
11151,2,1564,2,0
11152,150,585,106,0
11153,576,46,10,8
11154,647,339,5,0
11155,5,103,1446,0
11156,548,0,2,33
11157,26,7,2330,0
11158,509,600,1,0
11159,8,10,2283,0
11160,2,751,5,0
11161,2,27,2960,0
11162,22,7,1704,0
11163,506,1,2,0
11164,535,201,593,0
11165,3,2272,9,0
11166,112,1172,48,0
11167,534,270,185,7
11168,8,310,2470,0
11169,500,102,10,0
11170,23,1490,255,12
11171,0,0,1206,0
11172,1,869,8,0
11173,725,15,24,0
11174,579,20,235,0
11175,3,1673,13,0
11176,146,1774,42,0
11177,470,126,0,7
11178,173,150,1662,0
11179,9,1027,691,0
11180,24,1376,248,0
11181,526,1,5,0
11182,502,353,122,0
11183,724,24,397,8
11184,10,1291,2,0
11185,6,3813,17,0
11186,28,1820,71,0
11187,62,109,1530,0
11188,860,63,41,0
11189,1160,70,0,2
11190,604,3,7,0
11191,11,59,1745,0
11192,177,854,1,0
11193,614,195,0,29
11194,36,11,2200,0
11195,169,121,0,0
11196,13,1358,55,0
11197,12,6,1738,0
11198,251,280,3321,0
11199,532,4,0,0
11200,1069,55,2,0
11201,4,939,15,0
11202,8,19,2028,0
11203,1,1241,5,0
11204,12,97,2504,0
11205,477,452,1,0
11206,430,0,0,0
11207,794,358,454,0
11208,562,0,55,0
11209,44,0,141,0
11210,21,1883,2,0
11211,24,14,2240,0
11212,4,986,30,0
11213,1,1399,831,0
11214,24,1665,29,0
11215,448,226,0,2
11216,469,338,85,0
11217,3,46,1873,0
11218,460,48,62,1
11219,17,2381,34,0
11220,6,1815,7,0
11221,37,1165,7,0
11222,0,1601,372,0
11223,157,2339,3,0
11224,24,1167,959,1
11225,554,530,335,0
11226,33,981,28,0
11227,12,2,3,0
11228,6,2315,3,0
11229,509,115,1195,12
11230,29,992,73,0
11231,495,163,589,0
11232,2,1,2633,0
11233,5,1575,204,0
11234,477,476,2,0
11235,993,435,60,0
11236,23,922,650,0
11237,59,537,1997,0
11238,9,1915,559,0
11239,21,1855,2,0
11240,1,2037,43,0
11241,26,206,2021,0
11242,29,1432,5,0
11243,5,784,2,0
11244,86,1866,2,0
11245,6,1519,5,0
11246,22,2143,4,0
11247,472,338,91,1
11248,8,2189,9,2
11249,1150,0,146,0
11250,1,28,2273,0
11251,537,487,8,0
11252,33,1120,15,0
11253,36,339,2779,0
11254,1,2035,10,0
11255,62,16,1342,0
11256,890,329,21,0
11257,520,2,245,0
11258,713,20,625,0
11259,2,1276,18,0
11260,669,1,536,4
11261,19,69,2044,0
11262,632,84,51,0
11263,3,1086,20,0
11264,39,1242,10,1
11265,57,1765,35,0
11266,1,787,427,0
11267,12,1650,2,0
11268,2,1617,21,0
11269,31,1052,1,0
11270,28,929,29,0
11271,1,724,2,0
11272,605,13,18,0
11273,5,45,1244,0
11274,17,387,3084,0
11275,1,2797,4,0
11276,2,2619,2,0
11277,1,1075,67,0
11278,127,915,4,0
11279,18,410,1754,0
11280,0,21,3638,0
11281,34,2053,0,2
11282,590,2,193,0
11283,16,2083,1,0
11284,1,1096,2323,0
11285,18,31,1722,0
11286,20,58,2502,0
11287,8,1125,2,0
11288,7,802,5,0
11289,8,760,32,0
11290,653,51,0,0
11291,2,45,2505,0
11292,5,154,1593,0
11293,4,2499,3,0
11294,493,142,0,0
11295,5,1144,63,0
11296,419,2,8,0
11297,2,928,27,0
11298,1,1460,3,0
11299,5,1502,33,0
11300,89,1161,1,0
11301,796,0,0,0
11302,1165,16,7,0
11303,18,2347,47,0
11304,11,2946,32,0
11305,38,1610,0,1
11306,26,35,2590,0
11307,604,2992,7,0
11308,348,29,5,0
11309,429,1001,1934,0
11310,1037,4,20,0
11311,844,80,6,0
11312,10,2045,0,0
11313,44,52,2372,2
11314,1044,9,4,0
11315,1,963,3451,0
11316,1,766,351,0
11317,437,217,6,0
11318,1041,0,0,0
11319,145,794,8,0
11320,685,1260,61,4
11321,22,26,1111,0
11322,861,1,212,4
11323,11,1415,171,0
11324,978,171,2,0
11325,8,3231,43,0
11326,22,10,1405,0
11327,45,1848,2,0
11328,40,725,5,0
11329,978,30,0,1
11330,633,40,5,0
11331,678,0,0,0
11332,103,2282,8,0
11333,31,1832,5,0
11334,6,1031,192,0
11335,1,1717,1,0
11336,126,74,0,0
11337,3,403,2015,0
11338,1,862,17,0
11339,28,1024,0,0
11340,7,263,2991,0
11341,3,1312,25,0
11342,516,310,4,0
11343,507,1281,80,0
11344,39,1854,115,2
11345,797,18,688,0
11346,1,7,1538,0
11347,3,1055,6,0
11348,11,64,2779,0
11349,49,1438,10,1
11350,500,162,21,2
11351,22,1833,2,0
11352,115,2422,3,0
11353,54,1130,111,0
11354,1,1744,8,0
11355,429,631,15,0
11356,19,699,1,0
11357,576,12,4,3
11358,2,1474,36,5
11359,126,2533,3,0
11360,1,28,2406,0
11361,23,2131,7,0
11362,756,61,19,0
11363,1,739,5,0
11364,505,178,1,0
11365,385,256,0,2
11366,15,1632,10,0
11367,446,36,4,0
11368,3,2060,3,0
11369,472,5,17,0
11370,11,0,1906,0
11371,1,1530,1,0
11372,13,2539,2,0
11373,1,68,1699,0
11374,9,28,2258,0
11375,794,209,3,4
11376,14,1440,33,0
11377,6,1581,2,0
11378,799,1733,44,24
11379,881,118,9,0
11380,798,406,4,0
11381,1,1449,28,0
11382,564,120,15,3
11383,626,47,0,1
11384,5,13,1943,0
11385,5,13,2192,0
11386,532,94,17,3
11387,511,65,0,0
11388,6,1494,2,0
11389,1753,50,21,0
11390,25,9,3248,0
11391,20,1530,5,0
11392,594,36,24,2
11393,35,133,1541,0
11394,930,9,223,0
11395,22,208,1681,0
11396,239,2665,17,0
11397,1017,19,0,0
11398,11,2133,19,0
11399,686,52,7,0
11400,0,30,1202,0
11401,1,1668,0,0
11402,32,2345,8,0
11403,15,2304,99,0
11404,50,2252,2,0
11405,8,1166,23,0
11406,624,624,0,0
11407,1,889,0,0
11408,735,244,110,5
11409,43,1541,3,0
11410,29,2148,0,5
11411,9,1156,337,0
11412,3,26,2595,0
11413,9,2021,139,0
11414,3,1399,5,0
11415,82,1,2393,0
11416,1,2966,0,0
11417,395,1015,22,0
11418,20,11,1637,0
11419,6,1844,12,0
11420,473,2,100,0
11421,2,1493,7,0
11422,36,2054,6,0
11423,1000,0,0,0
11424,91,1197,53,0
11425,14,5,1870,0
11426,51,1150,2,0
11427,0,1670,183,0
11428,2,1412,151,0
11429,18,1155,33,0
11430,474,6,0,0
11431,4,191,28,0
11432,7,1538,34,0
11433,2,1808,3,0
11434,17,943,149,0
11435,403,1821,100,0
11436,794,0,0,0
11437,4,93,2152,0
11438,687,15,440,0
11439,14,6,1377,0
11440,718,32,11,0
11441,98,827,852,3
11442,784,2350,20,0
11443,838,52,919,0
11444,8,1432,15,0
11445,10,1396,83,0
11446,6,1677,70,0
11447,395,1434,4,0
11448,46,1671,17,0
11449,458,272,38,0
11450,943,63,10,0
11451,8,70,2522,0
11452,17,97,1932,0
11453,11,8,1329,0
11454,240,889,15,0
11455,10,1266,3,0
11456,76,833,30,0
11457,16,1582,2,0
11458,22,7,2686,0
11459,454,907,66,0
11460,504,524,0,10
11461,552,52,7,3
11462,197,1360,16,3
11463,610,7,16,0
11464,620,33,99,0
11465,533,1230,698,0
11466,840,724,31,0
11467,23,24,31,644
11468,74,771,5,0
11469,538,578,67,33
11470,595,2,0,6
11471,44,1265,62,0
11472,634,2,4,7
11473,811,69,1197,0
11474,467,588,18,0
11475,2,890,173,0
11476,65,2399,8,0
11477,665,175,14,0
11478,1112,64,146,0
11479,6,1905,0,0
11480,1,2441,13,0
11481,3,100,3311,0
11482,415,957,1,0
11483,66,1262,5,0
11484,5,11,2044,0
11485,2,193,4325,0
11486,430,0,482,0
11487,0,1059,40,0
11488,669,23,3,0
11489,4,2934,2,0
11490,134,1969,33,0
11491,8,723,121,0
11492,689,376,186,9
11493,761,1242,675,0
11494,651,179,76,0
11495,5,929,47,0
11496,1,1,1742,0
11497,9,76,1772,0
11498,773,78,39,0
11499,473,39,0,2
11500,66,2000,8,0
11501,279,0,137,0
11502,39,1243,0,1
11503,461,686,228,2
11504,594,11,0,6
11505,2,1794,10,0
11506,709,10,2,0
11507,3,1892,22,0
11508,2,10,1749,0
11509,32,1574,1,0
11510,8,1451,0,0
11511,3,76,1489,0
11512,1,733,2370,0
11513,2,1460,1,0
11514,5,20,1407,0
11515,9,589,2957,0
11516,102,45,1682,0
11517,4,107,1562,0
11518,7,1030,0,8
11519,58,6,2443,0
11520,488,28,71,0
11521,61,9,4764,1
11522,57,659,811,0
11523,7,1967,401,0
11524,9,1897,0,6
11525,174,2042,87,0
11526,23,1726,996,0
11527,68,1109,10,0
11528,587,137,3,0
11529,10,1524,9,0
11530,10,107,2823,0
11531,15,1626,100,0
11532,6,1924,349,0
11533,119,1297,29,0
11534,2,1,2266,0
11535,7,1150,5,0
11536,400,192,0,0
11537,27,496,2213,0
11538,6,1036,4,0
11539,694,140,98,0
11540,953,780,141,0
11541,71,87,1931,0
11542,11,1016,0,0
11543,444,1139,592,0
11544,521,203,75,0
11545,67,2140,0,0
11546,4,2049,20,0
11547,7,1770,33,0
11548,6,1081,1,0
11549,7,2116,47,0
11550,1,34,2319,0
11551,24,1529,28,0
11552,6,2209,269,0
11553,26,138,2468,0
11554,63,8,1375,0
11555,11,1025,670,0
11556,579,104,3,0
11557,724,450,17,0
11558,45,86,1718,0
11559,3,156,1653,0
11560,1027,0,0,0
11561,8,1819,720,3
11562,4,3283,6,0
11563,32,1327,26,0
11564,1,1175,5,0
11565,5,2135,40,0
11566,3,256,1319,0
11567,79,372,143,0
11568,47,2085,1,0
11569,18,1570,2,2
11570,101,426,2712,0
11571,438,305,18,4
11572,1,1858,7,0
11573,12,1995,17,0
11574,11,5,2071,6
11575,1,1629,85,2
11576,62,0,0,0
11577,1,1758,164,0
11578,6,2592,35,0
11579,1,573,2801,0
11580,5,164,1804,0
11581,2,1434,11,0
11582,504,172,0,3
11583,3,309,1864,0
11584,43,1689,29,0
11585,525,23,22,0
11586,11,19,4493,0
11587,1,1786,3,0
11588,597,279,36,21
11589,5,2363,43,0
11590,1,428,1999,0
11591,476,27,14,0
11592,17,27,2361,0
11593,105,1081,41,4
11594,20,160,2591,0
11595,81,1942,66,0
11596,174,211,973,0
11597,10,2056,1,1
11598,1,3702,4,0
11599,4,5,1905,0
11600,53,1484,65,2
11601,2,1365,12,0
11602,1,2291,9,0
11603,529,129,3,0
11604,555,53,11,0
11605,2,1525,3,0
11606,111,1376,25,0
11607,105,989,81,0
11608,424,39,2,0
11609,1,1300,308,0
11610,854,884,8,0
11611,142,729,1510,0
11612,2,212,2287,0
11613,1,3,1771,0
11614,118,25,0,0
11615,442,149,0,2
11616,527,424,15,0
11617,19,1725,52,0
11618,813,288,0,1
11619,28,16,1583,0
11620,15,1773,373,0
11621,792,455,43,3
11622,16,2227,11,0
11623,1,71,1504,0
11624,58,149,2144,0
11625,658,626,7,0
11626,15,1124,1,0
11627,3,660,1,0
11628,568,10,0,0
11629,71,38,2374,1
11630,40,13,1661,0
11631,494,886,8,9
11632,0,1900,2,0
11633,3,15,3138,0
11634,6,800,2,0
11635,10,829,4,0
11636,2,977,14,0
11637,5,1908,14,0
11638,12,1475,83,0
11639,6,3,2039,0
11640,1,1750,5,0
11641,10,0,1434,0
11642,38,25,2973,0
11643,1,7,1511,1
11644,675,198,1,0
11645,3,0,2604,0
11646,687,891,1079,0
11647,2,1094,5,0
11648,12,23,0,0
11649,4,1523,300,0
11650,39,1242,24,0
11651,144,21,2129,0
11652,8,4,2531,0
11653,9,0,1,285
11654,138,69,0,532
11655,2,1542,9,0
11656,1,557,4,0
11657,851,21,12,0
11658,2,3085,263,0
11659,594,422,22,0
11660,18,27,1691,0
11661,14,1368,0,0
11662,1359,8,8,18
11663,6,1502,8,0
11664,6,7,2439,0
11665,83,1660,12,0
11666,43,3,2398,0
11667,29,1495,6,0
11668,0,1810,1,2
11669,2,1245,1,0
11670,666,382,344,0
11671,4,1318,0,3
11672,113,1169,27,0
11673,20,1800,183,0
11674,7,67,2442,2
11675,5,1146,1,0
11676,36,1,1805,0
11677,150,1744,17,2
11678,9,98,1861,0
11679,5,798,2,0
11680,631,9,122,0
11681,616,126,14,0
11682,38,1516,221,0
11683,105,1106,1,0
11684,6,1596,11,0
11685,30,1224,150,0
11686,7,26,1682,0
11687,3,1206,333,0
11688,617,83,1,0
11689,78,2201,23,0
11690,1,15,1903,0
11691,17,1993,6,0
11692,45,52,1947,0
11693,1,65,3635,0
11694,3,822,9,0
11695,470,0,2,0
11696,2,56,1437,0
11697,461,304,0,1
11698,12,1269,1,0
11699,30,2934,31,0
11700,17,1121,10,0
11701,7,1267,15,0
11702,34,429,1698,0
11703,888,7,5,1
11704,653,57,23,0
11705,819,0,42,0
11706,446,423,0,2
11707,11,412,2087,0
11708,5,1160,40,0
11709,5,903,2,0
11710,2,1439,4,0
11711,456,703,1,0
11712,13,3055,12,0
11713,537,15,49,0
11714,690,46,252,0
11715,12,27,1598,0
11716,1,1058,57,0
11717,612,191,51,0
11718,660,349,221,0
11719,39,16,2481,0
11720,15,2981,73,0
11721,608,30,37,0
11722,17,1395,8,0
11723,2,2886,2,0
11724,116,18,3049,0
11725,5,4,2243,0
11726,56,1046,235,0
11727,334,1341,4,0
11728,2,1298,145,0
11729,48,15,2940,0
11730,193,1419,653,0
11731,18,543,0,2
11732,1086,2,206,0
11733,7,231,2007,0
11734,55,1,1625,0
11735,5,1372,2,0
11736,1,85,1946,0
11737,487,940,0,3
11738,1178,54,17,0
11739,46,1,3257,0
11740,1,1727,12,0
11741,17,1072,549,0
11742,454,7,9,0
11743,8,2,1664,1
11744,27,80,2176,0
11745,989,134,154,0
11746,348,7,0,0
11747,250,1776,9,2
11748,676,8,1032,0
11749,757,0,0,0
11750,4,6,2371,0
11751,7,2023,7,0
11752,13,823,62,0
11753,1,1021,13,0
11754,41,2,2440,0
11755,481,365,0,0
11756,481,19,0,4
11757,4,1806,9,2
11758,5,1865,24,0
11759,2,1034,2,0
11760,605,42,0,3
11761,11,1969,144,0
11762,720,235,8,0
11763,16,640,5,1
11764,604,3,100,0
11765,15,1722,546,0
11766,6,1794,12,0
11767,24,3719,129,0
11768,199,1543,2,0
11769,152,2344,285,0
11770,659,1224,326,6
11771,7,1591,2,0
11772,4,1150,13,0
11773,1,722,50,0
11774,446,832,2,0
11775,499,118,8,0
11776,80,1222,83,0
11777,42,1466,4,0
11778,431,152,58,0
11779,705,395,0,33
11780,13,1020,2,0
11781,53,1011,5,0
11782,63,1803,0,0
11783,574,66,23,0
11784,15,18,2287,0
11785,5,35,1292,0
11786,3,16,1660,0
11787,33,380,2473,0
11788,488,17,0,15
11789,3,1105,123,0
11790,17,1557,37,0
11791,1,921,42,0
11792,632,332,7,0
11793,77,1066,15,0
11794,19,26,2090,0
11795,514,62,193,0
11796,39,48,2270,0
11797,4,1442,40,0
11798,45,2544,0,0
11799,831,28,51,0
11800,522,307,8,0
11801,2,29,1663,0
11802,410,2224,0,5
11803,4,1559,47,0
11804,3,3,1305,0
11805,7,32,775,0
11806,5,1234,3,0
11807,53,1752,148,0
11808,11,938,2,0
11809,8,1106,10,0
11810,17,56,1925,0
11811,14,241,2323,0
11812,448,57,267,0
11813,110,8,2361,0
11814,33,69,1375,0
11815,2,687,788,0
11816,10,3,1608,0
11817,53,3538,10,1
11818,452,119,12,0
11819,87,1831,2,0
11820,1,1425,0,0
11821,7,1444,72,0
11822,4,1221,119,0
11823,8,946,107,0
11824,15,16,2420,0
11825,4,633,2461,0
11826,1,2457,177,0
11827,82,32,1496,0
11828,677,54,48,0
11829,1312,240,27,0
11830,12,16,1394,0
11831,49,126,1646,0
11832,95,1367,1,0
11833,886,79,3,0
11834,544,164,14,1
11835,197,2512,79,0
11836,599,464,41,0
11837,1041,903,10,0
11838,37,1703,44,0
11839,151,1330,2,0
11840,7,43,1635,0
11841,193,1146,2,0
11842,1,23,1533,0
11843,509,311,0,2
11844,16,18,2158,0
11845,6,20,1534,0
11846,2,2106,3,0
11847,41,2365,20,0
11848,6,129,1423,0
11849,168,2107,100,0
11850,43,1328,12,0
11851,251,1483,16,0
11852,289,1890,5,0
11853,25,67,3926,0
11854,3,860,15,0
11855,1,1530,7,0
11856,18,1215,20,0
11857,11,71,2615,0
11858,0,3,1,0
11859,497,26,109,1
11860,795,187,4,1
11861,539,65,30,0
11862,739,50,35,0
11863,1,111,1564,0
11864,1,24,912,0
11865,4,1608,3,0
11866,848,718,0,5
11867,6,2123,3,0
11868,399,22,0,0
11869,8,1604,56,0
11870,14,1905,32,0
11871,12,68,2490,0
11872,61,343,346,136
11873,6,22,1466,0
11874,16,1195,11,0
11875,11,979,4,0
11876,558,3033,1,0
11877,39,1398,1431,0
11878,17,1400,4,0
11879,6,1903,18,0
11880,548,754,50,1
11881,5,1435,4,0
11882,92,647,106,0
11883,589,27,25,0
11884,189,6,4,173
11885,8,1626,2,0
11886,8,1395,20,0
11887,6,4,2028,0
11888,9,1894,10,0
11889,6,1380,6,0
11890,618,180,3,0
11891,24,2226,5,0
11892,678,175,98,0
11893,712,27,44,0
11894,4,52,72,103
11895,1,9,2217,0
11896,23,1824,5,0
11897,60,200,0,0
11898,2,21,2977,0
11899,441,18,16,0
11900,3,13,2340,0
11901,530,8,10,0
11902,24,1596,844,0
11903,649,2,0,0
11904,4,1905,22,0
11905,553,0,0,0
11906,1,2499,8,0
11907,45,1713,1,0
11908,3,346,3071,0
11909,1607,571,10,0
11910,32,1579,3,0
11911,275,2217,2,0
11912,37,649,26,0
11913,563,12,824,3
11914,125,3016,30,0
11915,1,56,1086,0
11916,0,58,2156,0
11917,1,1348,166,0
11918,7,983,138,0
11919,3,5,1861,0
11920,38,1545,6,0
11921,726,0,0,0
11922,498,67,123,0
11923,99,40,1713,0
11924,552,2,3,0
11925,23,1686,0,5
11926,9,1106,6,0
11927,758,84,28,0
11928,86,7,1007,0
11929,646,1,1,0
11930,23,1466,22,0
11931,1,1275,0,2
11932,605,0,0,0
11933,677,273,8,3
11934,693,3,10,0
11935,692,1561,1,0
11936,98,598,1877,0
11937,36,14,1389,0
11938,12,2141,3,0
11939,0,87,1702,0
11940,108,1183,228,12
11941,885,252,12,0
11942,3,1,2165,0
11943,524,649,21,0
11944,0,388,1943,0
11945,1,1772,3,0
11946,1,3,1031,0
11947,33,2358,9,0
11948,525,236,17,5
11949,13,26,2812,0
11950,11,962,19,0
11951,4,50,2632,0
11952,7,1816,56,0
11953,553,720,32,0
11954,4,920,19,0
11955,65,1934,1,0
11956,947,34,0,1
11957,0,934,94,0
11958,170,2642,27,0
11959,457,389,141,0
11960,7,2210,10,0
11961,621,71,0,1
11962,75,1223,11,0
11963,6,1,3058,0
11964,426,1541,790,0
11965,524,763,352,0
11966,785,1,5,0
11967,110,441,37,0
11968,1043,160,1,0
11969,17,33,1483,0
11970,496,65,3,0
11971,103,1172,5,0
11972,17,1361,11,0
11973,5,1188,1,0
11974,6,0,3120,0
11975,0,892,134,0
11976,526,2,33,0
11977,7,1253,0,0
11978,5,23,3211,0
11979,525,245,13,0
11980,526,159,19,0
11981,77,1722,2,0
11982,0,1606,7,0
11983,2,1,2410,0
11984,2,113,2354,0
11985,90,1306,5,0
11986,40,1547,120,0
11987,536,204,6,0
11988,248,127,309,184
11989,49,1279,3,0
11990,3,960,3,0
11991,7,2509,2,0
11992,2,101,2398,0
11993,12,1742,193,0
11994,16,143,1845,0
11995,105,227,909,0
11996,2,2199,0,7
11997,48,332,1002,0
11998,10,25,2190,0
11999,32,3,1714,0
12000,4,21,1325,35
12001,1,110,2635,0
12002,1,213,3522,0
12003,521,425,79,0
12004,922,5,31,0
12005,470,184,371,0
12006,644,562,1,0
12007,593,47,0,0
12008,961,70,0,1
12009,695,85,0,34
12010,494,97,53,0
12011,59,2238,4,0
12012,8,1765,105,0
12013,512,285,451,0
12014,27,1896,56,0
12015,3,55,1994,0
12016,100,1004,39,0
12017,535,30,136,5
12018,7,0,2458,0
12019,518,423,0,0
12020,86,7,1476,0
12021,1,2192,14,0
12022,37,1232,28,0
12023,623,34,126,0
12024,934,632,1746,0
12025,442,175,17,0
12026,4,126,1054,0
12027,5,2409,78,0
12028,549,2,1,0
12029,10,17,1911,0
12030,843,31,86,0
12031,826,9,0,0
12032,37,2465,8,0
12033,418,0,0,0
12034,617,1018,2,0
12035,1,2211,2,0
12036,1089,0,0,0
12037,1662,240,3,19
12038,1045,0,0,0
12039,3,1808,17,0
